frase,situacao
"sinto dor no peito e falta de ar",alto risco
"tive um leve incômodo nas costas ontem",baixo risco
"palpitações fortes e sensação de desmaio repentino",alto risco
"acordei com uma leve tontura que durou cinco minutos",baixo risco
"dormência no braço esquerdo espalhando para o pescoço de manhã",alto risco
"estou sentindo dor de cabeça leve após trabalhar o dia todo",baixo risco
"suor frio constante acompanhado de queimação no peito esquerdo",alto risco
"minha perna dói após jogar duas horas de futebol",baixo risco
"dificuldade aguda de respirar mesmo deitado na minha cama agora",alto risco
"sinto um leve cansaço apenas quando acordo de manhã cedo na segunda",baixo risco
"uma pressão insuportável no peito que irradia totalmente pro maxilar",alto risco
"bate meu dedinho na quina da cama e estou com dor",baixo risco
"coração extremamente acelerado com falta de ar abrupta agora",alto risco
"dor passageira na região lombar após levantar peso de 10kg",baixo risco
